GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies
1,2023.06.09,Black,DarthYoda88,0-1,Win,946,654,1/86400,A03,,KatsMeow23 won by resignation,Chess.com,16
2,2023.06.08,White,AnaRiv_27,1-0,Win,974,364,1/86400,A04,,KatsMeow23 won on time,Chess.com,35
3,2023.06.10,White,DarthYoda88,0-1,Loss,787,864,1/86400,C21,,DarthYoda88 won by checkmate,Chess.com,90
4,2023.06.17,Black,AnaRiv_27,1-0,Loss,620,661,1/604800,D00,,AnaRiv_27 won by checkmate,Chess.com,115
5,2023.07.03,White,BeniRive,0-1,Loss,589,1190,600,B30,,BeniRive won on time,Chess.com,54
6,2023.07.03,Black,enirthheyener,0-1,Win,789,642,1800,D02,,KatsMeow23 won - game abandoned,Chess.com,18
7,2023.07.03,Black,BeniRive,0-1,Win,1020,1073,1800,A06,,KatsMeow23 won by checkmate,Chess.com,44
8,2023.07.03,White,BeniRive,1-0,Win,1133,1006,1800,B00,,KatsMeow23 won by checkmate,Chess.com,169
9,2023.07.03,White,den-pro-16,1-0,Win,1201,1005,1800,A00,,KatsMeow23 won by checkmate,Chess.com,51
10,2023.07.03,Black,den-pro-16,0-1,Win,1239,963,1800,B00,,KatsMeow23 won by checkmate,Chess.com,92
11,2023.06.23,White,AnaRiv_27,0-1,Loss,544,770,1/604800,C25,,AnaRiv_27 won by checkmate,Chess.com,60
12,2023.07.05,Black,willywill1955,1-0,Loss,1188,1392,1800,C25,,willywill1955 won by checkmate,Chess.com,45
13,2023.07.07,White,Se7ro,0-1,Loss,1149,1322,1800,D02,,Se7ro won by checkmate,Chess.com,78
14,2023.07.04,Black,AnaRiv_27,0-1,Win,657,621,1/604800,D02,,KatsMeow23 won by checkmate,Chess.com,186
15,2023.07.11,Black,Se7ro,1-0,Loss,1117,1306,1800,D00,,Se7ro won by checkmate,Chess.com,63
16,2023.07.10,White,AnaRiv_27,1-0,Win,717,548,1/259200,D02,,KatsMeow23 won by checkmate,Chess.com,35
17,2023.07.12,Black,Tenermont,1-0,Loss,590,378,1/259200,B00,,Tenermont won by checkmate,Chess.com,67
18,2023.07.10,Black,BeniRive,0-1,Win,675,725,1/259200,A00,,KatsMeow23 won by checkmate,Chess.com,94
19,2023.07.12,Black,AnaRiv_27,0-1,Win,711,501,1/259200,A03,,KatsMeow23 won by checkmate,Chess.com,112
20,2023.07.14,White,quatreW,1-0,Win,729,335,1/259200,B00,,KatsMeow23 won by checkmate,Chess.com,9
21,2023.07.14,White,BeniRive,1-0,Win,765,580,1/259200,A46,,KatsMeow23 won by checkmate,Chess.com,15
22,2023.07.16,Black,BeniRive,0-1,Win,788,520,1/259200,A00,,KatsMeow23 won by checkmate,Chess.com,16
23,2023.07.15,White,AnaRiv_27,1-0,Win,803,478,1/259200,C20,,KatsMeow23 won by checkmate,Chess.com,49
24,2023.07.20,White,BeniRive,1-0,Win,817,486,1/259200,D02,,KatsMeow23 won by checkmate,Chess.com,71
25,2023.07.24,Black,BeniRive,0-1,Win,828,462,1/259200,A00,,KatsMeow23 won by checkmate,Chess.com,80
26,2023.07.27,Black,BeniRive,0-1,Win,837,444,1/604800,A10,,KatsMeow23 won by checkmate,Chess.com,52
27,2023.07.27,White,BeniRive,1-0,Win,845,429,1/604800,A40,,KatsMeow23 won by checkmate,Chess.com,79
28,2023.07.27,White,BeniRive,1-0,Win,852,417,1/604800,C23,,KatsMeow23 won by checkmate,Chess.com,85
29,2023.07.27,Black,AnaRiv_27,0-1,Win,860,464,1/86400,D02,,KatsMeow23 won by checkmate,Chess.com,74
30,2023.07.27,Black,DarthYoda88,1/2-1/2,Draw,860,863,1/86400,A00,,Game drawn by stalemate,Chess.com,114
31,2023.08.01,White,AnaRiv_27,1-0,Win,866,452,1/86400,D04,,KatsMeow23 won by checkmate,Chess.com,39
32,2023.08.04,Black,ChessPlayer6458,1-0,Loss,844,951,1/86400,C50,,ChessPlayer6458 won by resignation,Chess.com,43
33,2023.08.02,White,live_bearded,1-0,Win,873,877,1/86400,C20,,KatsMeow23 won on time,Chess.com,61
34,2023.08.02,White,DarthYoda88,1/2-1/2,Draw,873,865,1/86400,A40,,Game drawn by agreement,Chess.com,118
35,2023.08.04,Black,ryus0a,1-0,Loss,855,992,1/86400,B00,,ryus0a won by resignation,Chess.com,13
36,2023.08.06,Black,AnaRiv_27,1-0,Loss,817,549,1/86400,C25,,AnaRiv_27 won by checkmate,Chess.com,135
37,2023.08.07,White,CASARONES,0-1,Loss,1073,1158,1800,B00,,CASARONES won by checkmate,Chess.com,134
38,2023.08.07,Black,Quili2022,1-0,Loss,1041,1171,1800,B01,,Quili2022 won by checkmate,Chess.com,117
39,2023.08.07,Black,AnaRiv_27,0-1,Win,1048,513,1800,B01,,KatsMeow23 won by checkmate,Chess.com,48
40,2023.08.08,White,PanoNaTo,0-1,Loss,1028,1229,1800,C00,,PanoNaTo won by checkmate,Chess.com,102
41,2023.08.08,Black,Chrisavian,0-1,Win,1064,1030,1800,D02,,KatsMeow23 won by checkmate,Chess.com,74
42,2023.08.07,White,musiatos,1-0,Win,831,677,1/86400,B00,,KatsMeow23 won by checkmate,Chess.com,35
43,2023.08.07,Black,pdtorr,0-1,Win,831,864,1/86400,B01,,KatsMeow23 won on time,Chess.com,2
44,2023.08.08,White,albertomag13,0-1,Loss,1026,1000,1800,D00,,albertomag13 won by resignation,Chess.com,44
45,2023.08.08,White,LCCARNEIRO,0-1,Loss,998,1042,1800,C21,,LCCARNEIRO won by resignation,Chess.com,16
46,2023.08.08,White,AnaRiv_27,1-0,Win,838,532,1/86400,A46,,KatsMeow23 won by checkmate,Chess.com,71
47,2023.08.06,Black,SonGokujoueauxchecs,1-0,Loss,825,988,1/86400,C25,,SonGokujoueauxchecs won by resignation,Chess.com,33
48,2023.08.06,White,HABdkuk,1-0,Win,842,788,1/86400,A46,,KatsMeow23 won by resignation,Chess.com,61
49,2023.08.12,Black,x-5000588811,0-1,Win,853,698,1/86400,B01,,KatsMeow23 won by resignation,Chess.com,74
50,2023.08.13,Black,AnaRiv_27,0-1,Win,857,451,1/86400,C26,,KatsMeow23 won by checkmate,Chess.com,46
51,2023.08.14,White,Kentoya100,0-1,Loss,981,1140,1800,C41,,Kentoya100 won by resignation,Chess.com,56
52,2023.08.14,Black,Ghi22,1-0,Loss,949,908,1800,B01,,Ghi22 won by checkmate,Chess.com,93
53,2023.08.15,White,LawrenciumPetrosian,0-1,Loss,931,1046,1800,B23,,LawrenciumPetrosian won by resignation,Chess.com,86
54,2023.08.15,Black,hkephart,0-1,Win,949,851,1800,B21,,KatsMeow23 won by resignation,Chess.com,36
55,2023.08.15,White,Supernines,1-0,Win,967,882,1800,A03,,KatsMeow23 won by checkmate,Chess.com,77
56,2023.08.06,White,SonGokujoueauxchecs,0-1,Loss,844,962,1/86400,A06,,SonGokujoueauxchecs won by resignation,Chess.com,72
57,2023.07.14,Black,quatreW,0-1,Win,847,314,1/259200,A00,,KatsMeow23 won on time,Chess.com,48
58,2023.07.15,White,quatreW,1-0,Win,849,298,1/259200,D00,,KatsMeow23 won on time,Chess.com,37
59,2023.08.15,White,nabhan87,0-1,Loss,841,1040,1/86400,A80,,nabhan87 won by resignation,Chess.com,40
60,2023.08.07,White,mavbrandao,0-1,Loss,825,831,1/86400,D04,,mavbrandao won by resignation,Chess.com,52
61,2023.08.15,Black,Toilet_Dad,1-0,Loss,813,908,1/86400,B23,,Toilet_Dad won by resignation,Chess.com,69
62,2023.08.15,White,Toilet_Dad,0-1,Loss,803,926,1/86400,B06,,Toilet_Dad won by checkmate,Chess.com,84
63,2023.08.15,Black,Toilet_Dad,1-0,Loss,794,942,1/86400,C25,,Toilet_Dad won by resignation,Chess.com,77
64,2023.08.18,Black,Surcouf_007,1-0,Loss,950,1026,1800,B01,,Surcouf_007 won by resignation,Chess.com,43
65,2023.08.18,Black,rgs33,0-1,Win,968,914,1800,D02,,KatsMeow23 won by checkmate,Chess.com,128
66,2023.08.17,White,AnaRiv_27,1-0,Win,797,442,1/86400,A45,,KatsMeow23 won by checkmate,Chess.com,133
67,2023.08.20,White,cesarvlla,0-1,Loss,782,817,1/86400,D00,,cesarvlla won by checkmate,Chess.com,40
68,2023.08.20,Black,cesarvlla,1-0,Loss,773,939,1/86400,C20,,cesarvlla won by resignation,Chess.com,55
69,2023.08.20,White,cesarvlla,1/2-1/2,Draw,777,895,1/86400,D02,,Game drawn by stalemate,Chess.com,106
70,2023.08.22,White,Sherky1776,0-1,Loss,761,685,1/86400,A03,,Sherky1776 won by checkmate,Chess.com,100
