GameNumber,Date,Color,Opponent,Result,Outcome,MyElo,OpponentElo,TimeControl,ECO,Opening,Termination,Site,NumPlies,TimeCategory
4569,2025.02.16,Black,Equalizer_001,0-1,Win,727,775,300+5,B20,,KatsMeow23 won on time,Chess.com,60,Blitz
4570,2025.02.16,White,el231958,1-0,Win,734,697,300+5,D02,,KatsMeow23 won by checkmate,Chess.com,199,Blitz
4571,2025.02.16,White,HolmesOfficial,1-0,Win,742,728,300+5,D02,,KatsMeow23 won by resignation,Chess.com,30,Blitz
4572,2025.02.16,Black,Creatone,0-1,Win,750,735,300+5,A43,,KatsMeow23 won on time,Chess.com,70,Blitz
4573,2025.02.16,Black,ExLee,1-0,Loss,742,775,300+5,B22,,ExLee won by resignation,Chess.com,73,Blitz
4574,2025.02.17,White,gianlucasialsale,1-0,Win,750,753,300+5,D05,,KatsMeow23 won by resignation,Chess.com,56,Blitz
4575,2025.02.17,White,zak_ikeda,1-0,Win,758,738,300+5,D04,,KatsMeow23 won by resignation,Chess.com,37,Blitz
4576,2025.02.17,Black,ahmadzamzami,0-1,Win,767,799,300+5,A43,,KatsMeow23 won - game abandoned,Chess.com,30,Blitz
4577,2025.02.17,White,McRobbs,1-0,Win,775,741,300+5,A48,,KatsMeow23 won by checkmate,Chess.com,35,Blitz
4578,2025.02.17,Black,McRobbs,1-0,Loss,766,750,300+5,A40,,McRobbs won by resignation,Chess.com,65,Blitz
4579,2025.02.17,White,mohitjassal7,1-0,Win,774,774,300+5,D05,,KatsMeow23 won by checkmate,Chess.com,77,Blitz
4580,2025.02.14,Black,Ardiles74,1-0,Loss,909,978,1/259200,B28,,Ardiles74 won by resignation,Chess.com,65,Daily
4581,2025.02.18,Black,AigSeb86,1-0,Loss,766,774,300+5,B30,,AigSeb86 won by checkmate,Chess.com,133,Blitz
4582,2025.02.18,White,Runarinsky,0-1,Loss,758,789,300+5,D05,,Runarinsky won by checkmate,Chess.com,48,Blitz
4583,2025.02.19,Black,kiddoDreams,1-0,Loss,750,779,300+5,B28,,kiddoDreams won by resignation,Chess.com,47,Blitz
4584,2025.02.19,White,half-axolotl,0-1,Loss,742,755,300+5,D02,,half-axolotl won by checkmate,Chess.com,62,Blitz
4585,2025.02.19,White,Alvenger,1-0,Win,751,759,300+5,A80,,KatsMeow23 won on time,Chess.com,67,Blitz
4586,2025.02.19,Black,Ashslashsonick,1-0,Loss,742,715,300+5,C00,,Ashslashsonick won by checkmate,Chess.com,31,Blitz
4587,2025.02.19,Black,Aden_Rabz,0-1,Win,750,721,300+5,A43,,KatsMeow23 won by checkmate,Chess.com,38,Blitz
