GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,1,Opening,e2e4,69,49,20,20,OK
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,3,Opening,g1f3,54,45,9,9,OK
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,5,Opening,d2d4,152,76,76,76,Inaccuracy
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,7,Opening,f3d4,89,55,34,34,OK
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,9,Opening,d4f3,56,54,2,2,OK
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,11,Opening,f1c4,96,20,76,76,Inaccuracy
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,13,Opening,d1d5,95,-40,135,135,Inaccuracy
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,15,Opening,c1g5,-40,-23,0,0,OK
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,17,Opening,d5f7,9999,10000,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,2,Opening,c7c5,-43,-41,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,4,Opening,a7a6,-39,-63,24,24,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,6,Opening,e7e6,-26,-19,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,8,Opening,d7d6,-3,-81,78,78,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,10,Opening,c5d4,54,35,19,19,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,12,Opening,f8d6,36,9,27,27,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,14,Opening,d6c5,89,42,47,47,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,16,Opening,g8f6,33,31,2,2,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,18,Opening,d8b6,58,7,51,51,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,20,Opening,e8g8,118,80,38,38,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,22,Middlegame,b8c6,93,-205,298,298,Mistake
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,24,Middlegame,c5e3,-5,-154,149,149,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,26,Middlegame,b6c6,86,-27,113,113,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,28,Middlegame,b7b5,15,-293,308,308,Blunder
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,30,Middlegame,c8b7,398,360,38,38,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,32,Middlegame,c6g2,441,393,48,48,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,34,Middlegame,f6g4,359,414,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,36,Middlegame,g8h7,545,565,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,38,Middlegame,g7g6,554,527,27,27,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,40,Middlegame,g4h2,620,378,242,242,Mistake
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,42,Middlegame,g2g3,624,561,63,63,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,44,Middlegame,h2f1,578,637,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,46,Middlegame,b7f3,612,578,34,34,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,48,Middlegame,f3h5,548,455,93,93,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,50,Middlegame,g3c7,446,215,231,231,Mistake
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,52,Endgame,h7h6,234,275,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,54,Endgame,g6h5,284,315,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,56,Endgame,h6h7,282,306,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,58,Endgame,f8g8,388,453,0,0,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,60,Endgame,a8g8,678,648,30,30,OK
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,62,Endgame,h7h6,745,650,95,95,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,64,Endgame,g8g6,637,538,99,99,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,66,Endgame,f7f5,779,672,107,107,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,68,Endgame,c7g3,718,660,58,58,Inaccuracy
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,70,Endgame,g3e1,9999,10000,0,0,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,2,Opening,c7c5,-39,-44,5,5,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,4,Opening,a7a6,-48,-57,9,9,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,6,Opening,b8c6,-13,-42,29,29,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,8,Opening,b7b6,-33,-158,125,125,Inaccuracy
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,10,Opening,b6c5,-79,-82,3,3,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,12,Opening,e8f7,194,178,16,16,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,14,Opening,f7e8,217,204,13,13,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,16,Opening,g8f6,270,211,59,59,Inaccuracy
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,18,Opening,h7h6,227,243,0,0,OK
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,20,Opening,h6g5,315,333,0,0,OK
