GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,MyMoves,Blunders,Mistakes,Inaccuracies,TotalCPLoss,AvgCPLoss,MedianMoveCPLoss
1,2026.02.24,White,Leon_Cuautle_1996,Win,600,KatsMeow23 won by checkmate,9,0,0,3,352,39.111111111111114,20.0
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,35,1,3,10,2319,66.25714285714285,38.0
3,2026.02.24,Black,man6382,Loss,600,man6382 won on time,36,0,0,13,1610,44.72222222222222,29.0
4,2026.02.24,Black,2374bird,Loss,600,2374bird won by resignation,37,0,2,9,1549,41.86486486486486,21.0
5,2026.02.24,White,MeteoritYT,Win,180+2,KatsMeow23 won - game abandoned,15,0,0,0,204,13.6,10.0
6,2026.02.24,White,NicolasFAlvarez,Win,180+2,KatsMeow23 won by resignation,12,0,2,3,643,53.583333333333336,17.5
7,2026.02.25,White,One_xitO,Win,180+2,KatsMeow23 won by resignation,20,0,0,5,651,32.55,17.0
8,2026.02.25,Black,kahfic,Loss,180+2,kahfic won on time,34,1,2,13,2970,87.3529411764706,41.5
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,36,4,5,7,5261,146.13888888888889,33.0
10,2026.02.25,White,GodDiaoCP,Loss,180+2,GodDiaoCP won by resignation,21,1,6,4,2786,132.66666666666666,86.0
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,27,4,3,7,3133,116.03703703703704,54.0
12,2026.02.25,Black,BONE_KING,Win,180+2,KatsMeow23 won by resignation,7,0,0,0,49,7.0,2.0
13,2026.02.25,Black,yayaya45,Loss,180+2,yayaya45 won on time,23,2,3,9,2140,93.04347826086956,65.0
14,2026.02.25,White,AkbarRizkiAA,Loss,180+2,AkbarRizkiAA won by checkmate,32,2,3,8,3289,102.78125,38.5
15,2026.02.26,White,Anonymous10100101,Loss,180+2,Anonymous10100101 won by checkmate,49,1,6,12,3760,76.73469387755102,32.0
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,56,5,5,19,6051,108.05357142857143,61.0
17,2026.02.26,Black,Ch3ssPl2y3r,Loss,600,Ch3ssPl2y3r won by resignation,28,1,2,11,1990,71.07142857142857,50.0
18,2026.02.26,White,marufansari,Win,600,KatsMeow23 won by resignation,43,1,3,9,2356,54.7906976744186,22.0
19,2026.02.26,Black,lolAtharva,Loss,180+2,lolAtharva won on time,26,1,7,10,2810,108.07692307692308,81.0
20,2026.02.26,White,Qxj7,Loss,600,Qxj7 won by resignation,56,4,5,15,5247,93.69642857142857,39.5
21,2026.02.26,White,moeid14,Loss,180+2,moeid14 won on time,43,9,2,9,7545,175.46511627906978,44.0
22,2026.02.26,Black,Adamdavidwalker,Loss,180+2,Adamdavidwalker won on time,26,0,1,6,1000,38.46153846153846,19.0
23,2026.02.26,White,ProgressMaharjan,Loss,180+2,ProgressMaharjan won by checkmate,34,4,1,6,3205,94.26470588235294,23.5
24,2026.02.27,Black,adamciacelli,Win,180+2,KatsMeow23 won by resignation,14,0,1,3,612,43.714285714285715,14.5
25,2026.02.27,White,CThom173,Loss,180+2,CThom173 won by checkmate,34,3,4,9,4198,123.47058823529412,43.0
26,2026.02.27,White,Two_IPhone,Loss,180+2,Two_IPhone won on time,27,2,3,4,2313,85.66666666666667,8.0
27,2026.02.27,Black,kyeongbook,Win,180+2,KatsMeow23 won by checkmate,10,0,1,2,476,47.6,22.5
28,2026.02.27,Black,ManiUtd7,Win,180+2,KatsMeow23 won on time,25,0,2,7,1248,49.92,31.0
29,2026.02.27,White,Jackdypro,Win,600,KatsMeow23 won by resignation,33,1,2,5,2138,64.78787878787878,22.0
30,2026.02.27,Black,Mhunz-Gambit,Win,600,KatsMeow23 won by checkmate,43,1,2,10,2485,57.7906976744186,17.0
31,2026.02.27,White,Ajax992,Win,600,KatsMeow23 won by checkmate,25,2,1,3,1841,73.64,25.0
