GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel,MoveNumber,SideToMove,MoveSAN,FENBefore,MoveTypeV1,SANTypeV1,BoardZoneV1,PhaseLabelV1,BlunderClassV2
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,28,Middlegame,b7b5,15,-293,308,308,Blunder,14,Black,b5,r1b2rk1/1p3ppp/p1q1pn2/8/8/2NBP3/PPP3PP/1R1Q1RK1 b - - 1 14,Pawn move,Non-capture,Queenside-related,Early middlegame blunder,Pawn structure / push blunder
8,2026.02.25,Black,kahfic,Loss,180+2,kahfic won on time,68,Endgame,g7g4,739,-443,1182,1000,Blunder,34,Black,Qg4,r4r1k/5pqp/8/5P2/2R4P/3p4/3N4/4QK2 b - - 2 34,Pawn move,Non-capture,Kingside-related,Endgame blunder,Kingside weakening move
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,45,Middlegame,c1g5,-492,-9994,9502,1000,Blunder,23,White,Bxg5,2rk3r/1pq1p3/p4bQ1/1b4p1/2nP4/2P5/PP3RPP/R1B3K1 w - - 0 23,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,47,Middlegame,g6g5,-607,-1004,397,397,Blunder,24,White,Qxg5,2rk3r/1pq1p3/p5Q1/1b4b1/2nP4/2P5/PP3RPP/R5K1 w - - 0 24,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,57,Endgame,d5b7,-809,-9994,9185,1000,Blunder,29,White,Qxb7,2rk3r/1p1bp3/p7/3Q4/3P4/2P1K3/Pn3RP1/q7 w - - 2 29,Piece move,Capture,Queenside-related,Endgame blunder,Unsafe capture
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,59,Endgame,e3f3,-1201,-9998,8797,1000,Blunder,30,White,Kf3,2rk3r/1Q1bp3/p7/8/3P4/2P1K3/Pn3RP1/4q3 w - - 1 30,Piece move,King move,Kingside-related,Endgame blunder,Unsafe king move
10,2026.02.25,White,GodDiaoCP,Loss,180+2,GodDiaoCP won by resignation,41,Endgame,g2h3,-918,-9996,9078,1000,Blunder,21,White,Kh3,r5k1/p1p2ppp/8/8/3nq2P/P5P1/1P3PK1/7R w - - 0 21,Pawn move,King move,Kingside-related,Endgame blunder,Unsafe king move
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,34,Middlegame,f6d5,153,-433,586,586,Blunder,17,Black,Nxd5,r4rk1/1b3ppp/p1n1pn2/1p1P4/1q3B2/1BN1QN1P/2PK1PP1/RR6 b - - 0 17,Piece move,Capture,Kingside-related,Middlegame blunder,Unsafe capture
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,42,Endgame,c6e5,415,-70,485,485,Blunder,21,Black,Ne5,r4rk1/1b3ppp/p1n1p3/1p6/4N3/1B3NPn/2PK1P2/R6R b - - 1 21,Piece move,Non-capture,Queenside-related,Endgame blunder,Quiet move blunder
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,44,Endgame,b7e4,504,-69,573,573,Blunder,22,Black,Bxe4,r4rk1/1b3ppp/p3p3/1p2n3/4N3/1B3NPR/2PK1P2/R7 b - - 0 22,Pawn move,Capture,Queenside-related,Endgame blunder,Unsafe capture
