GameIndex,Date,Color,Opponent,Outcome,TimeControl,Termination,PlyIndex,Phase,MoveUCI,EvalBeforeCP,EvalAfterCP,RawCPLoss,CPLoss,MoveLabel
2,2026.02.24,Black,benserra,Win,600,KatsMeow23 won by checkmate,28,Middlegame,b7b5,15,-293,308,308,Blunder
8,2026.02.25,Black,kahfic,Loss,180+2,kahfic won on time,68,Endgame,g7g4,739,-443,1182,1000,Blunder
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,45,Middlegame,c1g5,-492,-9994,9502,1000,Blunder
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,47,Middlegame,g6g5,-607,-1004,397,397,Blunder
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,57,Endgame,d5b7,-809,-9994,9185,1000,Blunder
9,2026.02.25,White,pogums,Loss,180+2,pogums won by checkmate,59,Endgame,e3f3,-1201,-9998,8797,1000,Blunder
10,2026.02.25,White,GodDiaoCP,Loss,180+2,GodDiaoCP won by resignation,41,Endgame,g2h3,-918,-9996,9078,1000,Blunder
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,34,Middlegame,f6d5,153,-433,586,586,Blunder
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,42,Endgame,c6e5,415,-70,485,485,Blunder
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,44,Endgame,b7e4,504,-69,573,573,Blunder
11,2026.02.25,Black,atersigni,Loss,180+2,atersigni won on time,48,Endgame,f7g6,-178,-497,319,319,Blunder
13,2026.02.25,Black,yayaya45,Loss,180+2,yayaya45 won on time,30,Middlegame,e7d6,137,-197,334,334,Blunder
13,2026.02.25,Black,yayaya45,Loss,180+2,yayaya45 won on time,44,Endgame,b7b6,-40,-438,398,398,Blunder
14,2026.02.25,White,AkbarRizkiAA,Loss,180+2,AkbarRizkiAA won by checkmate,35,Middlegame,h4h5,405,-396,801,801,Blunder
14,2026.02.25,White,AkbarRizkiAA,Loss,180+2,AkbarRizkiAA won by checkmate,61,Endgame,d3c4,-599,-9998,9399,1000,Blunder
15,2026.02.26,White,Anonymous10100101,Loss,180+2,Anonymous10100101 won by checkmate,97,Endgame,d4c5,-893,-9999,9106,1000,Blunder
16,2026.02.26,Black,suhas81,Loss,600,suhas81 won by checkmate,40,Middlegame,g7g5,132,-223,355,355,Blunder
